	Ahr	Ahrr	Arid2	Arid3a	Arid3b	Arid5a	Arntl	Ascl2	Atf5	Bach1	Bach2	Batf	Batf3	Bcl6	Bhlhe40	Cdc5l	Cebpa	Cebpb	Cebpg	Cic	Creb3	Creb3l2	Creb3l3	Creb3l4	Creb5	Ddit3	Deaf1	E2f1	E2f4	E2f6	Egr2	Elf1	Erf	Fos	Fosb	Fosl1	Fosl2	Foxf2	Foxi1	Foxn2	Foxn3	Gli1	Gtf2i	Hand1	Hes1	Hhex	Hic2	Hivep1	Hivep2	Hivep3	Hmg20b	Hoxb4	Hsf1	Id3	Ikzf1	Ikzf2	Ikzf3	Ikzf5	Irf1	Irf2	Irf3	Irf6	Irf7	Irf8	Irf9	Junb	Jund	Klf10	Klf11	Klf13	Klf2	Klf3	Klf7	Lcor	Lin54	Lyl1	Maf	Mafb	Maff	Mafg	Mafk	Max	Maz	Mbd2	Mef2a	Mef2c	Mitf	Mlx	Mlxipl	Nfatc2	Nfatc3	Nfe2l1	Nfe2l2	Nfib	Nfix	Nfkb1	Nfkb2	Nfya	Nkx6-2	Nr1d1	Nr1d2	Nr1h2	Nr1h3	Nr1i3	Nr2c2	Nr2f6	Nr3c1	Nr3c2	Nr4a1	Nr4a3	Ovol1	Patz1	Pax5	Pbx2	Pbx3	Ppard	Pparg	Prdm1	Prdm15	Prdm4	Prkrir	Rbpj	Rel	Rela	Relb	Rfx5	Rfx7	Rreb1	Runx2	Satb1	Satb2	Scrt1	Scx	Setdb1	Six5	Smad1	Smarcc1	Smarcc2	Sox9	Sp2	Sp3	Stat1	Stat2	Stat5a	Stat5b	Tal1	Tcf3	Tead3	Tead4	Terf2	Tfap4	Tfe3	Tfeb	Tgif1	Thra	Thrb	Trerf1	Usf1	Usf2	Ybx1	Yy1	Zbtb18	Zbtb3	Zbtb4	Zbtb42	Zbtb6	Zbtb7a	Zfp1	Zfp105	Zfp110	Zfp143	Zfp148	Zfp182	Zfp202	Zfp219	Zfp263	Zfp281	Zfp369	Zfp384	Zfp467	Zfp523	Zfp524	Zfp652	Zfx	Zkscan1	Zkscan3
1110034g24rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110038b12rik	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	1.0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	1.0	1.0	0	1.0	0	0	0	1.0	1.0	0.5	0	0	0	0	0	0	0	0
1190007i07rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-1.0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-1.0	0	0	0	0	0	0	-1.0	0	0	0	-1.0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-1.0	-1.0	0	0	-0.5	0	-1.0	0	0	0	0	0	0	0	0	0
1600002d24rik	0	0	0	0	0	0	0	0	0	1.0	0.5	1.0	0	0.5	0.5	0.5	1.0	0.5	0	0.5	0	0	0	0	1.0	0	0	0	0	0	1.0	0.5	0	1.0	1.0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0.5	0.5	0	0.5	0	0	1.0	0	0.5	0	0.5	0	0	0.5	0.5	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	0	1.0	1.0	0.5	0	1.0	0	0	0	0	0	0	0	1.0	0.5	0	0.5	0.5	0	0	0	0	0	0	0	0.5	0	1.0	0	0.5	0	0	0	0.5	0	1.0	0	0	1.0	0	0	0	0	0.5	1.0	0	0.5	0.5	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0.5	0.5	0	0.5	0.5	0	0	0.5	0.5	0.5	0	0	0.5	0	0	1.0	0	0	0	0	0	0.5	0	0.5	0	1.0	0.5	0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0
1600002h07rik	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600012h06rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
1600020e01rik	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	-1.0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	-1.0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	-1.0	-1.0	0	0	0	-0.5	-0.5	0	0	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	0	-1.0	0	0	-1.0	0	0	0	0	-1.0	0	0	0	0	0	0	-0.5	0	0
1700001l05rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0.5	0	1.0	0	0	0	0	0	0	0	0	0
1700012d01rik	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0.5	0	0	0	0	0	0	1.0	0	0	0	0	0	0.5	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0.5	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	0	0	0	0	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0.5	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0.5	1.0	1.0	0	0	0	0	0	0	0.5	0	0
1700016c15rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016g22rik	0	0	0	0.5	0	0	1.0	0	0	0	0	1.0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0.5	0	0	0.5	0	0	0.5	1.0	1.0	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0.5	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	1.0	0	0	0	0	0	0.5	0	1.0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	1.0	0	0	0.5	0	0	0	1.0	1.0	1.0	0	0	0	0.5	1.0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
1700017b05rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0.5	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0.5	0	1.0	0	0	0	0	0	0	0	0	0
1700017g19rik	0	0	0	0	0	0	0	0.5	0	0	0	1.0	0	0.5	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	1.0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0.5	0.5	0.5	0	1.0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0.5	0	0	0.5	0	0.5	0.5	0	0	0	0.5	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	1.0	0	0	0.5	1.0	1.0	0	0	0	0	0.5	0	0	0	0
1700019b03rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	-1.0	0	0	-1.0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	-0.5	-0.5	0	0	-0.5	0	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-1.0	-1.0	0	0	-0.5	0	-1.0	0	0	0	0	0	0	0	0	0
1700025g04rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025n23rik	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026l06rik	0	0	0	0	0	0	0	0.5	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
1700034h15rik	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
