	Ahr	Arid2	Arid3a	Arid3b	Arid5a	Atf5	Bach1	Bach2	Barx2	Batf	Batf3	Bcl11a	Bcl6	Cdc5l	Cic	Creb3l2	E2f7	Elf1	Ep300	Fos	Fosb	Foxj3	Foxm1	Foxo1	Gtf2i	Hhex	Hivep1	Hivep2	Hivep3	Hmg20b	Hoxa2	Hsf1	Id3	Ikzf1	Ikzf3	Ikzf4	Ikzf5	Irf1	Irf2	Irf3	Irf4	Irf6	Irf8	Irf9	Jun	Jund	Klf10	Klf11	Klf13	Klf14	Klf2	Klf3	Klf5	Klf7	Lin54	Lyl1	Maz	Mef2a	Mef2c	Nfatc2	Nfatc3	Nfe2	Nfe2l1	Nfib	Nfkb1	Nfya	Nr1d1	Nr1d2	Nr1h2	Nr4a1	Nr4a3	Nr6a1	Patz1	Pbx2	Pbx3	Pou2f1	Pou2f2	Pou4f1	Ppard	Prdm1	Prdm4	Prkrir	Rela	Relb	Rfx5	Rfx7	Rreb1	Runx2	Rxra	Satb1	Scx	Smad1	Smarcc1	Sox12	Sp2	Sp3	Spi1	Spib	Srf	Stat1	Stat2	Tcf21	Tcf7l1	Tead4	Tgif1	Trerf1	Ybx1	Zbtb3	Zbtb4	Zbtb42	Zbtb7a	Zeb1	Zfhx2	Zfp1	Zfp110	Zfp148	Zfp182	Zfp281	Zfp282	Zfp369	Zfp384	Zfp637	Zfp652	Zfp784	Zkscan3	Zkscan5
1700011i03rik	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0.5	0.5	0.5	0	1.0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	1.0	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0.5	0	0	0	0	0	0
1700025g04rik	0	0	0.5	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0.5	0.5	0.5	0	0	0	0	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	1.0	0	0.5	0.5	0	0	0	0	1.0	0	0	0	0	0.5	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0.5	0	0	0.5	0.5	0.5	0	0	0	0	0	0.5	0	0.5	0.5	0	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0.5	0	0.5	0	0	0	0	0	0
1700037c18rik	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700048o20rik	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700056e22rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066b17rik	0	0	0	0	0	0	0	0	0	-0.5	0	0	-1.0	0	0	0	0	-0.5	-0.5	0	0	-0.5	-1.0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0
1700112e06rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810011h11rik	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	-0.5	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	-0.5	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810034e14rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810037i17rik	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1.0	0.5	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0.5	0	0.5	0	1.0	0	0	0	0	0	0	0	1.0	0	1.0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0.5	0	0.5	0	0	0.5	0	0	0.5	0.5	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0
1810043g02rik	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0
2010010a06rik	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	-0.5	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010016i18rik	0	0	0.5	1.0	0	0.5	0	0	0	0.5	0	0.5	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0	0	0.5	0	0	0.5	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0.5	1.0	0	0	0.5	0	0	0	0	0	0.5	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
2010107g12rik	0	0	0	0	0	0.5	0.5	0	0	0.5	0	0.5	0	0	0	0	0	0.5	0.5	0.5	0.5	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0	1.0	0	0.5	0.5	0	0	0.5	0.5	1.0	0	0	0	0	0	0.5	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0.5	0	0	0	0.5	0	0.5	0	0	0	0	0.5	0	0	0.5	0.5	0	0	0.5	0	0.5	0	0	0	0.5	0	0.5	0	0.5	0.5	0	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	1.0	0	0	0.5	0.5	0	0.5	0	0.5	0	0	0	0	0	0
2010111i01rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	-0.5	0	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0
2010204k13rik	0	0	0	0	0	0	-0.5	0	0	-0.5	0	-0.5	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	0
2010315b03rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210408f21rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	-0.5	0	0	-0.5	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	-0.5	0	-1.0	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	-0.5	0	-0.5	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0
2310015a10rik	0	0	-0.5	0	0	0	0	0	0	0	0	0	-1.0	-0.5	0	0	0	-0.5	0	0	0	-0.5	-1.0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	-0.5	0	-1.0	-0.5	-0.5	-0.5	0	0	0	0	-1.0	0	0	0	-0.5	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	-0.5	0	0	-0.5	0	-0.5	0	0	0	0	0	0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	-1.0	0	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	0
2310022a10rik	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	-0.5	-0.5	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310040g24rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410016o06rik	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2510009e07rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610035d17rik	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0.5	0.5	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
2610524h06rik	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0
2700046g09rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	1.0	0	1.0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0.5	0	0	0	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0
2700097o09rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1.0	0.5	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0
2810029c07rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810408i11rik	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810429i04rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810474o19rik	0	0	0	0	0	0	0	0	0	0	0	-0.5	-1.0	0	0	0	0	-0.5	-0.5	0	0	-0.5	-1.0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	-0.5	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	-0.5	-0.5	0	-0.5	0	0	-1.0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	-0.5
3110043o21rik	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
