	Ahctf1	Ahr	Ahrr	Arid2	Arid3a	Arid3b	Arid5a	Atf5	Atoh8	Bach1	Bach2	Batf	Batf3	Bcl11a	Bcl6	Bcl6b	Cbfb	Cdc5l	Cebpa	Cebpb	Cic	Creb5	Ddit3	E2f7	E2f8	Ebf1	Egr2	Elf1	Ep300	Fos	Fosb	Foxa1	Foxc2	Foxf1	Foxi1	Foxj1	Foxj2	Foxj3	Foxk1	Foxm1	Foxn2	Foxo1	Foxo3	Foxo4	Foxr1	Foxs1	Gata3	Gli1	Grhl1	Gtf2i	Hhex	Hivep1	Hivep2	Hivep3	Hmg20b	Hnf1a	Hnf1b	Hoxc4	Hsf1	Id3	Ikzf1	Ikzf3	Ikzf4	Ikzf5	Insm1	Irf1	Irf4	Irf6	Jun	Jund	Kdm2b	Klf10	Klf11	Klf13	Klf2	Klf3	Lcor	Lin54	Lyl1	Mafk	Maz	Mecom	Mef2a	Mef2c	Nfat5	Nfatc1	Nfatc2	Nfatc3	Nfe2l1	Nfib	Nfix	Nfkb1	Nfkb2	Nr1d1	Nr1d2	Nr1h2	Nr2c1	Nr2f2	Nr3c1	Nr4a1	Nr4a3	Onecut2	Ovol1	Patz1	Pax8	Pbx2	Phf21a	Pou2f1	Pou2f2	Pou4f1	Ppard	Prdm4	Prkrir	Rara	Rarb	Rbpj	Rel	Rela	Relb	Rfx5	Rfx7	Rreb1	Runx1	Runx2	Runx3	Rxra	Rxrb	Sall1	Satb1	Satb2	Scrt1	Scx	Sim2	Smad1	Smad3	Smarcc1	Snai1	Sox12	Sox18	Sox9	Sp3	Spi1	Spib	Srf	Stat1	Stat2	Stat4	Stat5a	Stat5b	Tbp	Tbx2	Tbx21	Tcf21	Tcf3	Tcf7l1	Tcf7l2	Tead4	Terf2	Tgif1	Tgif2	Trerf1	Ybx1	Zbtb42	Zbtb6	Zbtb7a	Zeb1	Zfp1	Zfp110	Zfp143	Zfp148	Zfp182	Zfp281	Zfp282	Zfp369	Zfp523	Zfp524	Zfp628	Zfp652	Zfp784	Zkscan1	Zkscan3
1600029i14rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0	1.0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003e16rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009j07rik	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017d01rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0.5	0.5	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	1.0	1.0	1.0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025g04rik	0	0	0	0	0.5	0	0	0.5	0	0	0	1.0	0	1.0	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	1.0	0.5	0.5	0.5	1.0	0	0.5	0.5	1.0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	1.0	0.5	0	0	0	0	0	0	0	0	1.0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	1.0	0	0	0	0	0	0.5	0	0.5	1.0	0.5	0	0	0	0.5	1.0	0	0	0.5	1.0	0	0	0.5	1.0	1.0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0.5	0.5	0	1.0	0	0.5	0	1.0	0	0.5	0	0.5	0.5	0.5	1.0	0	0	0	0	0	0	1.0	0	0.5	0	0.5	0.5	0.5	0	0.5	0	0	0	0	0	0	0
1700025n23rik	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	-0.5	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	-0.5	0	0	0	-0.5	-1.0	-1.0	-0.5	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	-0.5	0	0	0	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0
1700029n11rik	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	1.0	0.5	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0.5	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1.0	1.0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0
1700034h15rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034j05rik	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061g19rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700064m15rik	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	1.0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066b17rik	0	0	0	0	0	0	0	0	0	0.5	0	1.0	0	0	0.5	1.0	0.5	0	0	0	0.5	0	0	0	0	0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.0	0.5	0.5	0	1.0	0	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	1.0	0	0	0	1.0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0.5	0.5	0	0.5	0.5	0	0	1.0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	1.0	1.0	0.5	0.5	0	0	0	0	0	0	0	0.5	0.5	0.5	0	0	0	0	0	0.5	0	0.5	0	0.5	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700086o06rik	0	0	0	0	0.5	0	0	0	0	0	0	0	0	1.0	0.5	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0.5	0.5	0.5	1.0	0.5	0.5	0	1.0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0.5	0.5	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0.5	1.0	0	0	0.5	0	0	0	0	1.0	1.0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0.5	0.5	0	0	0	0	0	0	0	0.5	0.5	1.0	0	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	1.0	0	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0
1700110k17rik	0	0	0	0	0.5	0	0	0	0	0	0	1.0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0.5	1.0	0	0	0	0	0	0	0	0	1.0	1.0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0	0.5	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0
1810006j02rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810011h11rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810037i17rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0.5	1.0	0	0	0.5	0	1.0	0	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0
2010016i18rik	0	0	0	0	-0.5	-0.5	0	-0.5	0	0	0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	-0.5	-0.5	0	-0.5	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	-0.5	0	0	0	0	0	0	0	0	0	0	-1.0	-0.5	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0
