	Ahctf1	Arid2	Arid3a	Arid3b	Arid5a	Atf5	Atoh8	Bach1	Bach2	Batf	Batf3	Bcl11a	Cbfb	Cdc5l	Cic	Creb5	Egr2	Elf1	Elf2	Ep300	Esr1	Fos	Fosb	Fosl2	Foxa1	Foxf1	Foxj1	Foxj2	Foxj3	Foxk1	Foxm1	Foxo1	Gfi1b	Gli1	Gtf2i	Hand1	Hey1	Hhex	Hic2	Hivep1	Hivep2	Hivep3	Hlx	Hmg20b	Hmga1	Hnf1b	Hoxa2	Hsf1	Id3	Ikzf1	Ikzf3	Ikzf4	Ikzf5	Insm1	Irf1	Irf4	Jund	Kdm2b	Klf10	Klf11	Klf13	Klf2	Klf3	Lcor	Lin54	Lyl1	Maz	Mef2a	Mef2c	Nfat5	Nfatc1	Nfatc2	Nfatc3	Nfe2l1	Nfe2l3	Nfix	Nfkb1	Nfkb2	Npas2	Nr1d1	Nr1d2	Nr1h2_Nr1h3	Nr3c1	Nr4a1	Nr4a3	Ovol1	Patz1	Pax8	Pbx2	Phf21a	Pou2f1	Pou2f2	Ppard	Pparg	Prdm4	Prkrir	Rbpj	Rel	Rela	Relb	Rfx5	Rfx7	Rorc	Rreb1	Runx1	Runx2	Runx3	Rxrb	Satb1_Satb2	Scrt1	Smad1	Smad3	Smarcc1	Snai1	Sox12	Sox7	Sp3	Spi1	Spib	Spic	Stat1	Stat2	Stat4	Stat5a	Stat5b	Tbp	Tbx21	Tcf12	Tcf3	Tcf4	Tcf7l1	Terf2	Tgif1	Trerf1	Zbtb4	Zbtb42	Zbtb6	Zbtb7a	Zeb1	Zfp1	Zfp110_Zfp369	Zfp148	Zfp281	Zfp282	Zfp523	Zfp628	Zfp652	Zkscan1	Zkscan3
1600010m07rik	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0.5	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
1600014c10rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029i14rik	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
1700003e16rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011i03rik	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	0	-0.5	-0.5	0	0	-1.0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-1.0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	0
1700012d01rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017d01rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024p16rik	0	0	0	0	1.0	0.5	0	0	0	0	0	1.0	0.5	0.5	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0.5	0.5	0.5	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	1.0	1.0	0.5	0	0	0	0	0	0	0	0	1.0	0	0.5	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	1.0	0	0.5	0	0	0	1.0	1.0	1.0	0	0	0	0	1.0	1.0	0	0	0	0	0.5	0.5	0	0	0.5	0	0.5	0.5	0	0	0.5	0.5	0	0	0	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
1700025g04rik	0	0	0.5	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0.5	0	0.5	0	0.5	0	1.0	0.5	0.5	0.5	0.5	0.5	0	1.0	0.5	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0.5	0.5	0	0	0	0	0	0	0	1.0	1.0	0.5	0	0	0	0.5	0.5	0	0	0	1.0	0.5	0.5	1.0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0.5	0	0.5	1.0	0	0	0	0	0	0	1.0	1.0	0	0	0	0.5	1.0	1.0	0	0	0	0	0	0.5	0	0	0	0	0.5	0.5	0	0	0.5	0.5	1.0	1.0	0	0	0.5	0.5	0	0	0	0.5	1.0	0	0	0	0	0	1.0	0.5	0.5	0.5	0.5	0	0	0	0	0	0
1700025n23rik	0	0	-0.5	-0.5	0	0	0	0	0	0	-0.5	-1.0	0	0	0	0	0	-0.5	-0.5	-0.5	0	0	0	0	0	0	-0.5	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-1.0	-0.5	0	0	0	-1.0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	-0.5	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5	-0.5	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034j05rik	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037c18rik	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	-0.5	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049g17rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700064m15rik	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	1.0	0.5	0	0	0	0	0	0	0	0	1.0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066b17rik	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0.5	0	0.5	0	1.0	0.5	0	0.5	0.5	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	1.0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	1.0	1.0	0	0	0	0	0.5	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0
1700086o06rik	0	0	0.5	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	1.0	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0.5	0.5	0	0	0	0	0	0
1810012k16rik	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-1.0	-1.0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
1810043g02rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0
2010010a06rik	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	0.5	0.5	0	0	0	0.5	0.5	0.5	0.5	0.5	0	1.0	0.5	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0.5	0	0	0	0	0	0.5	0	0	1.0	0.5	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0	0	1.0	0	1.0	1.0	0	0.5	0	0	0	0	0	0	0.5	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0	0	0	0	0.5	0	0.5	0	0.5	0.5	0	0.5	0	0	0	0
2010016i18rik	0	0	-0.5	-0.5	0	-0.5	0	0	0	-1.0	0	-1.0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	-0.5	0	-0.5	0	-0.5	-0.5	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	-1.0	-1.0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0
2010106c02rik	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010107g12rik	0.5	0	0	0	0	0.5	0	1.0	0	1.0	0.5	1.0	0.5	0	0	0	1.0	0.5	0	0.5	0	0.5	0.5	1.0	0.5	0.5	0.5	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	1.0	1.0	0.5	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0	0.5	0	0	0.5	0	0	1.0	0.5	0	0	0	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	1.0	1.0	1.0	0	0	0	0.5	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0.5	0	0.5	0	0	0.5	0.5	0	0	0	0	0.5	0	0.5	0	0	0	1.0	0	0.5	0	0	0	1.0	0	0.5	0.5	0.5	0	0	0	0	0	0
2010111i01rik	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	1.0	0	0	0.5	0	0.5	0	1.0	0	0	0	0.5	0.5	0.5	0	0.5	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0.5	0	0	1.0	0	0	0	0	0	0	0.5	0	1.0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
2010204k13rik	0	0	0	0	0	0	0	1.0	0	1.0	0	1.0	0	0	0	0	0	0	0	0.5	0	0.5	0	1.0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0
2010300c02rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
